Comments,SCHOOL NAME,FIELD,Grande Ecole or Ecole Spécialisée,PROGRAM NAME,SPECIALISATION,INTAKE,LEVEL OF ENTRY,CITY,PRICE,LENGHT,LANGUAGE,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication Publique & Influence,,Fall,BAC+4,Paris,11830,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication Publique & Influence,,Fall,BAC+4,Lyon,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication & Relations Médias,,Fall,BAC+4,Paris,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,"MBA Spécialisé Brand Content, Stratégie Éditoriale & Nouveaux Médias",,Fall,BAC+4,Bordeaux,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication & Production Audiovisuelle,,Fall,BAC+4,"Lyon, Paris",11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Sport Business & Communication,,Fall,BAC+4,"Lyon, Paris",11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication & Santé,,Fall,BAC+4,Paris,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication RSE & Développement Durable,,Fall,BAC+4,Paris,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication & Marketing des Vins et Spiritueux,,Fall,BAC+4,Bordeaux,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication & Gastronomie,,Fall,BAC+4,Lyon,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Communication in Fashion Industries,,Fall,BAC+4,Paris,11830,1,English,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Luxury Communication & Strategies,,Fall,BAC+4,Paris,11830,1,English,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business,,Fall,BAC+4,Paris,14250,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business,,Fall,BAC+4,"Bordeaux, Lille, Lyon, Paris",0,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business,,Spring,BAC+4,Paris,15710,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business Health ,,Fall,BAC+4,Paris,0,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business Beauty & Cosmetics,,Fall,BAC+4,Paris,0,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Digital Marketing & Business Luxe ,,Fall,BAC+4,Paris,0,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,Formation manager de la communication," Création & Stratégies Publicitaires/Création & Stratégies Publicitaires/Strategic Communication & Marketing/Communication & Marketing Stratégique/Communication & Management Événementiel/ Communication Publique & Influence/ Communication & Relations Médias/ Brand Content, Stratégie Éditoriale & Nouveaux Médias/ Communication & Production Audiovisuelle/ Sport Business & Communication/ Communication & Santé/Communication RSE & Développement Durable/Communication & Marketing des Vins et Spiritueux/Communication & Gastronomie/Communication in Fashion Industries/Luxury Communication & Strategies/Digital Marketing & Business/ Digital Marketing & Business/Digital Marketing & Business Health/Digital Marketing & Business Beauty & Cosmetics/ Digital Marketing & Business Luxe/MBA Ingénierie Culturelle & Management/MBA International Art Market/MBA Music Business Management/","Fall, Spring",BAC,"Aix-en-Provence, Montpellier, Rennes, Strasbourg, Toulouse",8000,5,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Ingénierie Culturelle & Management (Double diplôme par ICART),,Fall,BAC+4,"Bordeaux, Lille, Lyon, Paris",11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA International Art Market (Dual degree by ICART),,Fall,BAC+4,Paris,11880,1,English,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA International Art Market (Dual degree by ICART),,Fall,BAC+4,Paris,11680,1,French,,,,,,,
,EFAP École des nouveau métiers de la communication ,Business School  📈,Ecole Spécialisée 🧢 ,MBA Spécialisé Music Business (Double diplôme par ICART),,Fall,BAC+4,Paris,11680,1,French,,,,,,,
,EFJ École du nouveau journalisme,Business School  📈,Ecole Spécialisée 🧢 ,Formation journaliste plurimédia,,Fall,BAC,Paris,8030,3,French,,,,,,,
,EFJ École du nouveau journalisme,Business School  📈,Ecole Spécialisée 🧢 ,Formation journaliste plurimédia,,Fall,BAC,Bordeaux,8850,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,BTS Services Informatiques aux Organisations (SIO),"Solutions d’infrastructure, systèmes et réseaux SISR/Solutions logicielles et applications métiers SLAM/",Fall,BAC,Paris,6700,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,BTS Communication,,Fall,BAC,Paris,6700,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Cybersécurité & Ethical Hacking,Réseau & cloud/Sécurité logicielle,Fall,BAC,"Bordeaux, Paris",8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Ingénierie & Cybersécurité,,Fall,BAC,Paris,8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Développeur web & application,Réalité virtuelle/Data,Fall,BAC,"Bordeaux, Paris",8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Ingénierie & Numérique,,Fall,BAC,Paris,8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Marketing digital & communication,Brand content/Marketing d'influence/Création & design/,Fall,BAC,"Bordeaux, Paris",8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Ingénierie Marketing Digital,,Fall,BAC,Paris,8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Management & Strategie digitale,,Fall,BAC,Paris,8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Communication digitale & internationale,,Fall,BAC,"Bordeaux, Paris",8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Bachelor Business & nouvelles technologies,,Fall,BAC,Paris,8700,3,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Programme Grande École Ingénieur,"Prépa ingénieur Scientifique/Prépa ingénieur Bio & Numérique/Prépa ingénieur PLUS/Information Systems Strategy and Governance/Software Engineering/IT for Finance/Technologies immersives et IA/Cybersécurité, SI & Gouvernance/Cybersécurité, infrastructures et logiciels/Cybersécurité & Cloud/Transports Intelligents/Systèmes Robotiques & Drones/Data & Artificial Intelligence/Data Engineering/Business Intelligence & Analytics/Bio-informatique/Réseaux et sécurité/Big Data & Machine Learning/Logiciels et Systèmes d'Information/",Fall,BAC,"Bordeaux, Paris",9700,5,Both,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Programme Grande École Ingénieur,"Prépa ingénieur Scientifique/Information Systems Strategy and Governance/Software Engineering/IT for Finance/Technologies immersives et IA/Cybersécurité, SI & Gouvernance/Cybersécurité, infrastructures et logiciels/Cybersécurité & Cloud/Transports Intelligents/Systèmes Robotiques & Drones/Data & Artificial Intelligence/Data Engineering/Business Intelligence & Analytics/Bio-informatique/Réseaux et sécurité/Big Data & Machine Learning/Logiciels et Systèmes d'Information/",Spring,BAC,"Bordeaux, Paris",7400,5,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,"Mastère Cybersécurité, Réseaux et Cloud",,Fall,BAC+3,"Bordeaux, Paris",10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Dev Manager Full Stack,,Fall,BAC+3,"Bordeaux, Paris",10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Data Engineering & AI,,Fall,BAC+3,"Bordeaux, Paris",10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Cybersecurity & Artificial Intelligence,,Fall,BAC+3,Paris,10750,2,Mix,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Cybersécurité et Management,,Fall,BAC+3,Paris,10750,2,Mix,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère UX Design,,Fall,BAC+3,Paris,10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Marketing digital et management,,Fall,BAC+3,"Bordeaux, Paris",10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Mastère Communication & stratégie digitale,,Fall,BAC+3,Paris,10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Master International communication & technology,,Fall,BAC+3,Paris,10750,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Master en Management & Digital Transformation,,Fall,BAC+3,Paris,14500,2,French,,,,,,,
CLOSED,EFREI ,Engineering 🛠,Grande Ecole 👑,Master Marketing et technologies digitales,,Fall,BAC+3,Paris,14500,2,French,,,,,,,
,ELIJE (Galileo Group),Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Droit et Business,,Fall,BAC,"Aix-en-Provence, Lyon, Montpellier, Paris, Rennes, Toulouse, Tours",7500,3,French,,,,,,,
,ELIJE (Galileo Group),Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Droit et Business,,Spring,BAC,"Lyon, Paris, Toulouse",7500,3,French,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,Bachelor Management International,Service industries/Service industries/Digital Business/Digital Business/Logistics/Logistics/,Fall,BAC,Le Havre,8500,3,Both,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,BBA Bachelor in Business Administration,,Fall,BAC,Paris,10000,4,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,Programme Grande École,International Business/International Marketing and Business Development/Digital Entrepreneurship/Audit and Corporate Finance/Financial Data Management/International Logistics and Port Management/Supply Chain Management/Human Resources Manager/Development Strategies and Territories/Sustainable Business Strategy/Digital Strategy and Innovation/International Events Management/Marketing and Digital in Luxury and Lifestyle/Marketing Strategy and Business Development/Stratégie Digitale et Innovation/,Fall,BAC,"Caen, Paris",13000,5,Both,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,"MSc Banking, Finance and FinTech",,Fall,BAC+3,Oxford,17000,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc Financial Data Management,,Fall,BAC+3,Paris,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc International Events Management,,Fall,BAC+3,Paris,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc International Logistics and Port Management,,Fall,BAC+3,Le Havre,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc International Marketing and Business Development,,Fall,BAC+3,Caen,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc Marketing and Digital in Luxury and Lifestyle,,Fall,BAC+3,Paris,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc Supply Chain Management,,Fall,BAC+3,Le Havre,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,MSc Sustainable Business Strategy,,Fall,BAC+3,Paris,14500,2,English,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,"Mastère Spécialisés® Marketing, Communication et Ingénierie des produits Agroalimentaires",,Fall,BAC+5,Rouen,12500,1,French,,,,,,,
,EM Normandie Business School,Business School  📈,Grande Ecole 👑,Mastère Spécialisés® Territorial Strategies and Management of Transitions,,Fall,BAC+5,Caen,14500,1,French,,,,,,,
,EM Strasbourg Business School,Business School  📈,Grande Ecole 👑,Bachelor of International Business,"International Marketing/Human Ressources & International and Responsible Management /International Business/ Stratégie, innovation, et entrepreneuriat / Ventes & marketing international/Affaires internationales et responsables /",Fall,BAC,Strasbourg,8500,3,Both,,,,,,,
,EM Strasbourg Business School,Business School  📈,Grande Ecole 👑,Programme Grande École,"Finance (En)/International & European Business/Operational and Strategic Marketing/Supply chain management et achat international/Négociation et management commercial/Business model & management responsable/
Comptabilité-Contrôle-Finance/Marketing (Fr)/Digitalisation des parcours clients/",Fall,BAC,Strasbourg,10500,5,Both,,,,,,,
,EM Strasbourg Business School,Business School  📈,Grande Ecole 👑,Master in Management (Master Grande École) ,"Finance (En)/International & European Business/Operational and Strategic Marketing/Supply chain management et achat international/Négociation et management commercial/Business model & management responsable/
Comptabilité-Contrôle-Finance/Marketing (Fr)/Digitalisation des parcours clients/",Fall,BAC+3,Strasbourg,10500,2,Both,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,Bachelor Affaires & Relations Internationales,,Fall,BAC,Paris,8300,3,French,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,Bachelor Digital & International Business,,Fall,BAC,Paris,8300,3,French,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,Programme Grande École,Financial Markets/International Business/Audit & Performance Management/Corporate Finance/Marketing & Communication/Management & Conseil en Développement Durable/Achats & Supply Chain Management/Management des systèmes d’information et des data/Digital Marketing & Data Analytics x IIM Digital School/Digital RH/Marketing & Expérience Client/Finance & Contrôle de Gestion/Négociation & Développement Commercial/,"Fall, Spring",BAC,Paris,12000,5,Both,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,Master in Management (Master Grande École),Financial Markets/International Business/Audit & Performance Management/Corporate Finance/Marketing & Communication/Management & Conseil en Développement Durable/Achats & Supply Chain Management/Management des systèmes d’information et des data/Digital Marketing & Data Analytics x IIM Digital School/Digital RH/Marketing & Expérience Client/Finance & Contrôle de Gestion/Négociation & Développement Commercial/,Fall,BAC+3,Paris,12000,2,Both,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc Marketing & Digital Communication,,"Fall, Spring",BAC+4,Paris,12900,1,English,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc International Finance & Investment,,Fall,BAC+4,Paris,12900,1,English,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc Supply Chain Management,,Fall,BAC+4,Paris,12900,1,English,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc Digital Business Analytics,,Fall,BAC+4,Paris,12900,1,English,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc International Business,,"Fall, Spring",BAC+4,Paris,12900,1,English,,,,,,,
,EMLV Business School (Léonard de Vinci),Business School  📈,Grande Ecole 👑,MSc Luxury & Innovation Management,,"Fall, Spring",BAC+4,Paris,12900,1,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Global BBA,,Fall,BAC,Lyon,14300,4,Both,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Bachelor of Science in Data Science for Responsible Business,,Fall,BAC,Lyon,14650,4,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Management (Master Grande École) ,Financial & Accounting Management/Financial Markets/Entrepreneurship & Innovation/Entrepreneurial Insights/ Marketing/Supply Chain/ICM Ingénieur Civil des Mines x École des Mines de Saint-Étienne (Double diplôme)/Ingénieur Manager x École Centrale de Lyon (Double diplôme)/Master Économie et Finance x l'Université Lumière Lyon II (Double diplôme)/Études et Recherche en Management x Université Jean Moulin Lyon III (Double diplôme)/Master de design x Strate École de Design (Double diplôme)/,Fall,BAC+3,Lyon,21400,2,Both,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Global Sales Excellence,,Fall,BAC+3,Lyon,28750,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Financial & Business Performance,,Fall,BAC+3,Lyon,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Healthcare Innovation & Data Science,,Fall,BAC+3,Lyon,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Leading Sustainable Transformations,,Fall,BAC+3,Paris,28750,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Data Science & Artificial Intelligence Strategy,,Fall,BAC+3,Paris,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Data Science & Artificial Intelligence Strategy,,Fall,BAC+4,Paris,28750,1,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Supply Chain & Operations Management,,Fall,BAC+3,Lyon,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,"MSc in Sports, Entertainment & Lifestyle",,Fall,BAC+3,Paris,17450,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Digital Marketing & Data Analytics,,Fall,BAC+3,Paris,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Digital Marketing & Data Analytics,,Fall,BAC+4,Paris,28750,1,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Strategy & Consulting,,Fall,BAC+3,Paris,19250,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Master in Strategy & Consulting,,Fall,BAC+4,Paris,28750,1,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in International Hospitality Management,,Fall,BAC+3,"Lyon, Paris",28750,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Global Innovation & Entrepreneurship,,Fall,BAC+3,Lyon,28750,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in International Marketing & Business Development,,Fall,BAC+3,Lyon,28750,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Luxury Management & Marketing,,Fall,BAC+3,Paris,35000,1.5,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Management of Energy Transitions,,Fall,BAC+3,Paris,17450,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Finance,Corporate Finance & Innovation/Financial Markets/,Fall,BAC+3,Lyon,19995,2,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,MSc in Finance,Corporate Finance & Innovation/Financial Markets/,Fall,BAC+4,Lyon,28750,1,English,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Mastère Spécialisés® (MS) Entrepreneuriat & Management de l’Innovation, Entrepreneuriat/management de l’innovation,Fall,BAC+5,"Lyon, Paris",21900,1,French,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Mastère Spécialisés® (MS) Stratégie & Développement d’Affaires Internationales,,Fall,BAC+5,Lyon,21900,1,French,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,Mastère Spécialisés® (MS) Juriste Manager International ,,Fall,BAC+5,"Lyon, Paris",21900,1,French,,,,,,,
,emlyon business school ,Business School  📈,Grande Ecole 👑,"Mastère Spécialisés® (MS) Transformation Digitale, Marketing & Stratégie",,Fall,BAC+5,"Lyon, Paris",21900,1,French,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,Bachelor Cybersécurité,,Fall,BAC,Paris,8010,3,French,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,Bachelor in Computer Science,,Fall,BAC,Paris,10400,3,English,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,Programme Ingénieur,"Global IT Management/Informatique et technologies quantiques/Multimédia et nouvelles communications/Conception de plateformes/Système, Réseau et Sécurité/Réseaux – Télécom/Cloud computing/Cybersécurité et Systèmes/Développement web et nouvelles applications/IA – Data science/Système d’Information et Génie Logiciel/Industrie du futur/Numérique et Santé/Image/Systèmes embarqués/Data Science, Intelligence Artificielle et Graphes/Industrie du futur/",Fall,BAC,"Lyon, Paris, Rennes, Strasbourg, Toulouse",9100,5,Both,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,MSc in Computer Science,"Software engineering (SE)/Data Science and Analysis (DSA)/Computer, Applications, Network & Information Security (CS)/Innovative Information Systems Management (i-ISM)/","Fall, Spring",BAC+3,Paris,14760,1.5,English,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,MSc Artificial Intelligence Systems,,"Fall, Spring",BAC+3,Paris,18000,1.5,English,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,MSc Artificial Intelligence for Marketing Strategy,,"Fall, Spring",BAC+3,Paris,19400,1.5,English,,,,,,,
,EPITA,Engineering 🛠,Grande Ecole 👑,Mastère Informatique et Management,,Fall,BAC+3,Paris,0,2,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,BTS SIO – Services Informatiques aux Organisations,"Solutions d’infrastructure, systèmes et réseaux (SISR)/Solutions logicielles et applications métiers (SLAM)/Solutions d’infrastructure, systèmes et réseaux (SISR)/Solutions logicielles et applications métiers (SLAM)/",Fall,BAC,"Arras, Bordeaux, Grenoble, Lille, Lyon, Montpellier, Nantes, Paris, Rennes, Toulouse",9140,2,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor SIN Sciences Informatiques et Numériques,,Fall,BAC,"Arras, Bordeaux, Grenoble, Lille, Lyon, Montpellier, Nantes, Paris, Rennes, Toulouse",8500,3,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor SIN - Systems Operations SysOps,,Fall,BAC,"Arras, Bordeaux, Grenoble, Lille, Lyon, Montpellier, Nantes, Paris, Rennes, Toulouse",8500,3,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor SIN - Développeur IA,,Fall,BAC,"Arras, Bordeaux, Grenoble, Lille, Lyon, Montpellier, Nantes, Paris, Rennes, Toulouse",8500,3,French,,,,,,,
No student in France / Full time,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor AI and Data Science,,Fall,BAC,Paris,9000,3,English,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Mastère SIN - Expert en informatique et système d'infotmation ,,Fall,BAC+3,"Arras, Bordeaux, Grenoble, Lille, Lyon, Montpellier, Nantes, Paris, Rennes, Toulouse",9000,2,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Mastère SIN - Expert en intelligence artificielle,,Fall,BAC+3,"Arras, Bordeaux, Lyon, Montpellier, Toulouse",9000,2,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Mastère SIN - Expert en cybersécurité,,Fall,BAC+3,"Bordeaux, Grenoble, Lille, Lyon, Montpellier, Paris, Rennes, Toulouse",9000,2,French,,,,,,,
No student in France / only stage alterné,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Mastère SIN - Expert en ingénierie des données,,Fall,BAC+3,"Lille, Montpellier, Toulouse",9000,2,French,,,,,,,
No student in France / Full time,EPSI (FIGS Group),Engineering 🛠,Ecole Spécialisée 🧢 ,MBA AI and Data Science,,Fall,BAC+3,Paris,13500,2,French,,,,,,,
No student in France,ESAIL (FIGS Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation designer d’intérieur,,Fall,BAC,Lyon,7500,3,French,,,,,,,
No student in France,ESAIL (FIGS Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation architecte d’intérieur,,Fall,BAC,"Bordeaux, Lyon",8500,5,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,Bachelor Intelligence Artificielle,,Fall,BAC,Angers,6150,3,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,Bachelor Cybersécurité,,Fall,BAC,Angers,6150,3,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,Bachelor Management de l’énergie et des territoires intelligents,,Fall,BAC,Aix-en-Provence,6150,3,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,Programme Ingénieur du Numérique,Cybersécurité & réseaux/Cybersécurité & réseaux/ Intelligence artificielle/ Big data & data science/ Big data & data science/Objets connectés/,"Fall, Spring",BAC,"Aix-en-Provence, Angers",6250,5,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,Programme Ingénieur du Numérique,Cybersécurité & réseaux/Cybersécurité & réseaux/ Intelligence artificielle/ Big data & data science/ Big data & data science/Objets connectés/,"Fall, Spring",BAC,Aix-en-Provence,6750,5,English,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,"Programme Ingénieur en Santé, Sécurité, et Environnement",Maîtrise des énergies/Environnement & économie circulaire/Sûreté globale et gestion de crises/Transitions environnementale et énergétique/ Performance & organisation QHSE/Prévention des risques industriels et naturels/,"Fall, Spring",BAC,"Aix-en-Provence, Angers",6250,5,French,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,"Programme Ingénieur en Santé, Sécurité, et Environnement",Maîtrise des énergies/Environnement & économie circulaire/Sûreté globale et gestion de crises/Transitions environnementale et énergétique/ Performance & organisation QHSE/Prévention des risques industriels et naturels/,"Fall, Spring",BAC,Aix-en-Provence,6750,5,English,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,MSc Cybersecurity and Data Science,,Fall,BAC+3,Angers,8650,2,English,,,,,,,
,ESAIP,Engineering 🛠,Grande Ecole 👑,"Master Sécurité Informatique, Cybersécurité et Cybermenaces",,Fall,BAC+3,Angers,0,2,French,,,,,,,
,ESAM (IGENSIA Group),Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Management,,Fall,BAC,"Lyon, Paris",8450,3,French,,,,,,,
